Image Path,Asymmetry Score,Area,Perimeter,Circularity,Number of Colors,Sick
DermMel\train_sep\NotMelanoma\ISIC_0025126.jpg,2981970,32276,1536,0.171912375,2,0
DermMel\train_sep\Melanoma\ISIC_0033752.jpg,9850395,65601,6046,0.022551947,3,1
DermMel\train_sep\NotMelanoma\ISIC_0031863.jpg,6126885,70801,3642,0.067076342,3,0
DermMel\train_sep\Melanoma\AUGmented_0_5324.jpeg,143055,3421,258,0.645837898,3,1
DermMel\train_sep\NotMelanoma\ISIC_0029664.jpg,627810,9212,465,0.535374754,4,0
DermMel\train_sep\Melanoma\ISIC_0029212.jpg,11871525,109277,9369,0.015644156,4,1
DermMel\train_sep\NotMelanoma\ISIC_0030379.jpg,2480895,42371,2037,0.128320641,2,0
DermMel\train_sep\NotMelanoma\ISIC_0029921.jpg,4737390,61060,3250,0.072644032,3,0
DermMel\train_sep\Melanoma\ISIC_0032182.jpg,14053560,119084,8108,0.02276333,9,1
DermMel\train_sep\NotMelanoma\ISIC_0029697.jpg,4047105,24529,3123,0.031604268,3,0
DermMel\train_sep\NotMelanoma\ISIC_0024976.jpg,7011735,43157,2396,0.094468601,2,0
DermMel\train_sep\Melanoma\AUGmented_0_1342.jpeg,2771850,11942,1530,0.064106796,4,1
DermMel\train_sep\NotMelanoma\ISIC_0026237.jpg,3422100,125584,5475,0.052647279,3,0
DermMel\train_sep\Melanoma\ISIC_0026081.jpg,2331210,47288,1852,0.173252235,3,1
DermMel\train_sep\NotMelanoma\ISIC_0025962.jpg,8005980,131956,5654,0.051871332,2,0
DermMel\train_sep\Melanoma\AUGmented_0_5065.jpeg,1869660,15872,2171,0.042317682,3,1
DermMel\train_sep\NotMelanoma\ISIC_0025635.jpg,4098105,16645,628,0.530364414,4,0
DermMel\train_sep\Melanoma\AUG_0_5912.jpeg,1706970,9834,895,0.154274447,4,1
DermMel\train_sep\Melanoma\AUGmented_0_8563.jpeg,1811265,9635,1623,0.045964712,3,1
DermMel\train_sep\NotMelanoma\ISIC_0032510.jpg,3245385,56255,3016,0.07771562,3,0
DermMel\train_sep\Melanoma\AUG_0_6352.jpeg,694875,5799,469,0.331296835,2,1
DermMel\train_sep\Melanoma\AUG_0_4578.jpeg,597975,5027,367,0.469014879,5,1
DermMel\train_sep\NotMelanoma\ISIC_0032727.jpg,15816375,102635,12198,0.008668183,4,0
DermMel\train_sep\Melanoma\AUG_0_7109.jpeg,937890,10836,1097,0.113152878,3,1
DermMel\train_sep\NotMelanoma\ISIC_0031431.jpg,10612080,85630,10139,0.010467562,3,0
DermMel\train_sep\NotMelanoma\ISIC_0033745.jpg,3095445,70963,3301,0.081837204,4,0
DermMel\train_sep\NotMelanoma\ISIC_0031789.jpg,2700195,32931,2286,0.079188539,4,0
DermMel\train_sep\NotMelanoma\ISIC_0025172.jpg,3861975,57693,4190,0.04129571,3,0
DermMel\train_sep\NotMelanoma\ISIC_0032518.jpg,9572700,85976,2413,0.185554912,3,0
DermMel\train_sep\Melanoma\ISIC_0024640.jpg,6447165,115135,4232,0.080784104,8,1
DermMel\train_sep\NotMelanoma\ISIC_0030168.jpg,8945910,86718,2804,0.138599958,5,0
DermMel\train_sep\Melanoma\AUGmented_0_9249.jpeg,2758335,26795,1327,0.191214922,3,1
DermMel\train_sep\Melanoma\AUG_0_5880.jpeg,854250,5178,350,0.531172792,2,1
DermMel\train_sep\Melanoma\AUGmented_0_1298.jpeg,3091875,17785,1545,0.09362822,3,1
DermMel\train_sep\NotMelanoma\ISIC_0029830.jpg,11716740,66594,9423,0.009424679,3,0
DermMel\train_sep\Melanoma\ISIC_0028901.jpg,11846025,97765,4787,0.053612544,4,1
DermMel\train_sep\Melanoma\ISIC_0027863.jpg,8474670,46834,3722,0.042483313,2,1
DermMel\train_sep\Melanoma\AUG_0_4752.jpeg,865980,4614,582,0.171175453,4,1
DermMel\train_sep\NotMelanoma\ISIC_0029892.jpg,3566430,26648,1260,0.210927591,2,0
DermMel\train_sep\NotMelanoma\ISIC_0029759.jpg,8734005,89793,8548,0.015442703,3,0
DermMel\train_sep\NotMelanoma\ISIC_0032013.jpg,12542940,91214,12340,0.007527332,4,0
DermMel\train_sep\NotMelanoma\ISIC_0025653.jpg,1511130,20274,1256,0.161499071,5,0
DermMel\train_sep\Melanoma\AUG_0_5125.jpeg,2445960,14244,2140,0.039085375,3,1
DermMel\train_sep\Melanoma\AUGmented_0_8263.jpeg,831300,5476,453,0.335333467,2,1
DermMel\train_sep\Melanoma\AUG_0_4159.jpeg,1090125,19277,1144,0.185096098,5,1
DermMel\train_sep\Melanoma\AUG_0_9270.jpeg,363375,10695,579,0.400897664,4,1
DermMel\train_sep\Melanoma\AUG_0_6044.jpeg,790755,10309,887,0.164656608,4,1
DermMel\train_sep\NotMelanoma\ISIC_0031980.jpg,17325975,118147,10174,0.0143433,4,0
DermMel\train_sep\NotMelanoma\ISIC_0031738.jpg,12972615,75599,8399,0.013466997,5,0
DermMel\train_sep\Melanoma\AUG_0_6632.jpeg,2024700,20226,1624,0.096371322,6,1
DermMel\train_sep\NotMelanoma\ISIC_0026391.jpg,2943465,18477,1067,0.203944728,4,0
DermMel\train_sep\NotMelanoma\ISIC_0029930.jpg,18763155,109731,12728,0.00851175,5,0
DermMel\train_sep\Melanoma\AUG_0_4389.jpeg,1236750,7862,954,0.108554081,5,1
DermMel\train_sep\NotMelanoma\ISIC_0024588.jpg,12020700,79684,9261,0.011675224,2,0
DermMel\train_sep\Melanoma\AUG_0_7088.jpeg,1273980,8266,756,0.181744666,2,1
DermMel\train_sep\NotMelanoma\ISIC_0033264.jpg,6977565,51363,3814,0.044370964,4,0
DermMel\train_sep\Melanoma\AUG_0_5850.jpeg,1619760,8146,790,0.164021239,4,1
DermMel\train_sep\NotMelanoma\ISIC_0031771.jpg,3957855,66125,2669,0.116648297,2,0
DermMel\train_sep\Melanoma\AUGmented_0_525.jpeg,1179120,18776,1479,0.107864018,2,1
DermMel\train_sep\Melanoma\AUG_0_9616.jpeg,2640270,14052,2589,0.026344133,3,1
DermMel\train_sep\NotMelanoma\ISIC_0034003.jpg,5929770,66600,3549,0.066446498,4,0
DermMel\train_sep\Melanoma\AUG_0_6135.jpeg,1591200,15688,1627,0.074473598,4,1
DermMel\train_sep\NotMelanoma\ISIC_0024359.jpg,6291870,68274,3824,0.058671804,2,0
DermMel\train_sep\Melanoma\ISIC_0027721.jpg,3215805,45925,3467,0.048012171,4,1
DermMel\train_sep\NotMelanoma\ISIC_0032006.jpg,11520135,81567,8154,0.015416399,3,0
DermMel\train_sep\Melanoma\AUG_0_4577.jpeg,2015265,11197,926,0.164092816,6,1
DermMel\train_sep\Melanoma\AUGmented_0_1750.jpeg,916215,9435,591,0.339450777,3,1
DermMel\train_sep\NotMelanoma\ISIC_0033098.jpg,2251650,20278,3730,0.018315438,3,0
DermMel\train_sep\NotMelanoma\ISIC_0025077.jpg,2326875,56561,1384,0.371069076,3,0
DermMel\train_sep\Melanoma\AUG_0_6121.jpeg,402645,5577,323,0.67174658,3,1
DermMel\train_sep\Melanoma\AUGmented_0_797.jpeg,1647045,11933,1551,0.062335566,3,1
DermMel\train_sep\Melanoma\ISIC_0027436.jpg,8405310,72136,7418,0.01647359,5,1
DermMel\train_sep\Melanoma\AUGmented_0_256.jpeg,3022260,19196,2762,0.031620829,3,1
DermMel\train_sep\NotMelanoma\ISIC_0029468.jpg,4049400,35684,2557,0.068583862,2,0
DermMel\train_sep\NotMelanoma\ISIC_0029792.jpg,19148970,115502,2890,0.173781557,4,0
DermMel\train_sep\Melanoma\AUGmented_0_2258.jpeg,1258170,6118,908,0.093249742,4,1
DermMel\train_sep\Melanoma\AUGmented_0_6017.jpeg,852465,9067,723,0.217970081,3,1
DermMel\train_sep\NotMelanoma\ISIC_0024622.jpg,5567415,39319,2756,0.065050989,2,0
DermMel\train_sep\NotMelanoma\ISIC_0033259.jpg,7217775,50085,1417,0.313456905,3,0
DermMel\train_sep\NotMelanoma\ISIC_0024928.jpg,4182255,41107,1243,0.334336191,3,0
DermMel\train_sep\Melanoma\AUG_0_9795.jpeg,2489055,16417,2655,0.029266758,4,1
DermMel\train_sep\NotMelanoma\ISIC_0033184.jpg,11113665,93527,10935,0.009828999,4,0
DermMel\train_sep\Melanoma\ISIC_0025603.jpg,3523845,54163,2839,0.084446526,4,1
DermMel\train_sep\NotMelanoma\ISIC_0030409.jpg,4548690,19232,1140,0.185962173,2,0
DermMel\train_sep\NotMelanoma\ISIC_0025135.jpg,11598165,101847,7755,0.021281121,2,0
DermMel\train_sep\NotMelanoma\ISIC_0033298.jpg,2054790,50902,2220,0.129789262,3,0
DermMel\train_sep\NotMelanoma\ISIC_0029374.jpg,9280470,100676,13731,0.006710138,3,0
DermMel\train_sep\Melanoma\AUGmented_0_9388.jpeg,515610,5406,400,0.424586247,3,1
DermMel\train_sep\Melanoma\AUG_0_6089.jpeg,587010,2442,196,0.798809794,3,1
DermMel\train_sep\Melanoma\AUG_0_7157.jpeg,1798005,15999,1584,0.080129484,3,1
DermMel\train_sep\NotMelanoma\ISIC_0030095.jpg,16103505,103237,8888,0.01642242,6,0
DermMel\train_sep\Melanoma\AUGmented_0_6642.jpeg,2198100,17440,1346,0.120966809,4,1
DermMel\train_sep\Melanoma\AUGmented_0_5460.jpeg,2370225,18071,1804,0.069778075,3,1
DermMel\train_sep\Melanoma\AUGmented_0_8859.jpeg,2267715,11985,1821,0.045418001,4,1
DermMel\train_sep\Melanoma\AUG_0_9501.jpeg,1247460,13788,1029,0.163636578,4,1
DermMel\train_sep\NotMelanoma\ISIC_0029387.jpg,3022005,11851,461,0.700749847,4,0
DermMel\train_sep\Melanoma\AUG_0_6087.jpeg,1341555,7131,949,0.099501099,2,1
DermMel\train_sep\NotMelanoma\ISIC_0030177.jpg,7118325,39353,4209,0.0279145,3,0
DermMel\train_sep\NotMelanoma\ISIC_0031800.jpg,6636885,47335,4256,0.032838931,2,0
DermMel\train_sep\NotMelanoma\ISIC_0024612.jpg,619650,9286,684,0.249417166,5,0
DermMel\train_sep\NotMelanoma\ISIC_0029977.jpg,3678120,76120,2909,0.113037151,2,0
DermMel\train_sep\Melanoma\AUG_0_5955.jpeg,2478855,30349,1418,0.189671373,4,1
DermMel\train_sep\Melanoma\AUG_0_4542.jpeg,260100,3284,249,0.66560154,3,1
DermMel\train_sep\Melanoma\ISIC_0033479.jpg,9869775,73989,4832,0.039822009,6,1
DermMel\train_sep\Melanoma\AUG_0_5972.jpeg,1619760,12358,1361,0.083838173,2,1
DermMel\train_sep\Melanoma\ISIC_0026993.jpg,3797460,57724,1779,0.22919988,6,1
DermMel\train_sep\Melanoma\AUG_0_9792.jpeg,1566210,20714,1765,0.083557304,5,1
DermMel\train_sep\Melanoma\AUG_0_4863.jpeg,1493535,9307,1017,0.113077884,3,1
DermMel\train_sep\Melanoma\AUG_0_9743.jpeg,977160,13008,795,0.258634309,4,1
DermMel\train_sep\Melanoma\AUGmented_0_215.jpeg,3012825,16847,2338,0.038729637,4,1
DermMel\train_sep\NotMelanoma\ISIC_0026277.jpg,13622100,89044,10618,0.009924967,5,0
DermMel\train_sep\Melanoma\ISIC_0027253.jpg,9619365,59511,6399,0.018263453,6,1
DermMel\train_sep\NotMelanoma\ISIC_0025692.jpg,9378645,48955,2651,0.087536154,2,0
DermMel\train_sep\Melanoma\AUG_0_6625.jpeg,1018470,6478,738,0.14946451,2,1
DermMel\train_sep\Melanoma\AUGmented_0_9234.jpeg,2147610,14302,1505,0.079347571,2,1
DermMel\train_sep\Melanoma\AUG_0_5977.jpeg,2525520,17268,1912,0.059357572,3,1
DermMel\train_sep\NotMelanoma\ISIC_0032315.jpg,876945,15281,1086,0.16281784,5,0
DermMel\train_sep\Melanoma\ISIC_0026877.jpg,10748250,117376,4858,0.062499155,5,1
DermMel\train_sep\Melanoma\AUG_0_7921.jpeg,2992935,20007,2858,0.030779913,3,1
DermMel\train_sep\NotMelanoma\ISIC_0025807.jpg,2556885,32511,2674,0.057136994,3,0
DermMel\train_sep\Melanoma\AUG_0_4449.jpeg,959055,10679,1001,0.133928281,3,1
DermMel\train_sep\Melanoma\ISIC_0026086.jpg,12709710,91780,6719,0.025547513,4,1
DermMel\train_sep\Melanoma\AUGmented_0_2298.jpeg,2448000,15364,2307,0.036275965,3,1
DermMel\train_sep\Melanoma\AUG_0_9518.jpeg,362100,8126,582,0.301467648,2,1
DermMel\train_sep\Melanoma\AUG_0_9760.jpeg,1691160,28020,1127,0.277223577,3,1
DermMel\train_sep\Melanoma\ISIC_0033286.jpg,11962305,101603,7078,0.025485624,5,1
DermMel\train_sep\Melanoma\ISIC_0033368.jpg,5070930,85762,3045,0.116233194,3,1
DermMel\train_sep\Melanoma\AUG_0_9522.jpeg,273105,3027,261,0.558394678,3,1
DermMel\train_sep\Melanoma\ISIC_0025450.jpg,1954830,31932,1696,0.139503238,4,1
DermMel\train_sep\NotMelanoma\ISIC_0025823.jpg,6121530,76966,3081,0.10188855,5,0
DermMel\train_sep\NotMelanoma\ISIC_0026255.jpg,8561625,41795,10410,0.00484655,3,0
DermMel\train_sep\NotMelanoma\ISIC_0034038.jpg,8636085,66275,5346,0.029140815,4,0
DermMel\train_sep\Melanoma\AUG_0_6432.jpeg,1611090,9036,1060,0.101058851,3,1
DermMel\train_sep\NotMelanoma\ISIC_0033227.jpg,2517360,28194,1427,0.173987726,2,0
DermMel\train_sep\Melanoma\AUG_0_6048.jpeg,932025,8249,783,0.169078211,3,1
DermMel\train_sep\NotMelanoma\ISIC_0026226.jpg,12838995,90797,12684,0.007092003,2,0
DermMel\train_sep\Melanoma\AUG_0_7065.jpeg,97665,1099,140,0.704614352,2,1
DermMel\train_sep\NotMelanoma\ISIC_0031603.jpg,10541190,87048,7141,0.021451151,3,0
DermMel\train_sep\Melanoma\AUG_0_7150.jpeg,2012715,11359,1611,0.054999518,3,1
DermMel\train_sep\Melanoma\ISIC_0033317.jpg,1429275,46639,2278,0.112941007,4,1
DermMel\train_sep\NotMelanoma\ISIC_0025001.jpg,605115,16397,1034,0.192722838,5,0
DermMel\train_sep\NotMelanoma\ISIC_0025923.jpg,1795710,24030,1169,0.22097066,3,0
DermMel\train_sep\Melanoma\AUGmented_0_9864.jpeg,1458600,9844,909,0.149710997,3,1
DermMel\train_sep\NotMelanoma\ISIC_0024690.jpg,12108420,88748,9900,0.011378842,3,0
DermMel\train_sep\Melanoma\AUG_0_4211.jpeg,1706970,13232,1102,0.136921664,3,1
DermMel\train_sep\NotMelanoma\ISIC_0032731.jpg,8833710,64458,8023,0.012583838,3,0
DermMel\train_sep\Melanoma\AUG_0_9375.jpeg,1724310,29090,1326,0.207905767,3,1
DermMel\train_sep\NotMelanoma\ISIC_0029523.jpg,7057890,45990,4459,0.029066874,3,0
DermMel\train_sep\NotMelanoma\ISIC_0025134.jpg,14511030,83638,8746,0.013740248,3,0
DermMel\train_sep\Melanoma\AUG_0_7298.jpeg,1957380,11908,1453,0.07087898,3,1
DermMel\train_sep\NotMelanoma\ISIC_0029968.jpg,1944120,19488,1179,0.176177128,2,0
DermMel\train_sep\NotMelanoma\ISIC_0030270.jpg,8119455,73701,10484,0.008426151,2,0
DermMel\train_sep\NotMelanoma\ISIC_0030220.jpg,4118250,37872,3296,0.043808027,2,0
DermMel\train_sep\Melanoma\AUGmented_0_9738.jpeg,2752725,19107,2154,0.051750073,3,1
DermMel\train_sep\Melanoma\AUG_0_7903.jpeg,1347675,6565,705,0.165984051,3,1
DermMel\train_sep\Melanoma\AUG_0_7434.jpeg,1968600,14640,1176,0.133025928,3,1
DermMel\train_sep\NotMelanoma\ISIC_0025601.jpg,9466365,67829,3784,0.059528237,2,0
DermMel\train_sep\Melanoma\ISIC_0027263.jpg,7999095,66239,5751,0.025167316,4,1
DermMel\train_sep\NotMelanoma\ISIC_0030375.jpg,15238800,101244,12854,0.00770021,5,0
DermMel\train_sep\NotMelanoma\ISIC_0033508.jpg,3341520,34676,1316,0.251609526,2,0
DermMel\train_sep\Melanoma\AUG_0_4341.jpeg,1184475,6145,914,0.09243562,4,1
DermMel\train_sep\NotMelanoma\ISIC_0030318.jpg,12179565,102877,7870,0.020872703,5,0
DermMel\train_sep\Melanoma\ISIC_0033533.jpg,6737355,118715,6109,0.039973779,4,1
DermMel\train_sep\NotMelanoma\ISIC_0032393.jpg,7826460,70740,4725,0.039817253,2,0
DermMel\train_sep\Melanoma\AUG_0_6182.jpeg,1934430,15234,1980,0.048830754,2,1
DermMel\train_sep\Melanoma\AUGmented_0_9629.jpeg,1763835,13541,1345,0.094062395,7,1
DermMel\train_sep\Melanoma\ISIC_0032662.jpg,1570545,48289,1706,0.208497102,4,1
DermMel\train_sep\NotMelanoma\ISIC_0032326.jpg,6424725,50333,7286,0.011914734,2,0
DermMel\train_sep\Melanoma\AUG_0_5203.jpeg,2533680,19420,3478,0.020174368,5,1
DermMel\train_sep\NotMelanoma\ISIC_0031892.jpg,4540785,46951,2334,0.108306122,2,0
DermMel\train_sep\Melanoma\ISIC_0033607.jpg,4903140,30216,1549,0.158250103,3,1
DermMel\train_sep\NotMelanoma\ISIC_0033983.jpg,6144990,89628,4587,0.053529858,2,0
DermMel\train_sep\NotMelanoma\ISIC_0031840.jpg,4469895,34687,1019,0.419786276,2,0
DermMel\train_sep\Melanoma\AUG_0_5036.jpeg,680595,4265,278,0.69348857,3,1
DermMel\train_sep\Melanoma\AUG_0_4305.jpeg,1378020,21532,1577,0.108800489,2,1
DermMel\train_sep\NotMelanoma\ISIC_0024978.jpg,14192025,85575,11054,0.008800713,1,0
DermMel\train_sep\Melanoma\AUG_0_4355.jpeg,907290,5828,613,0.194898483,2,1
DermMel\train_sep\NotMelanoma\ISIC_0033721.jpg,91545,6367,310,0.83257109,3,0
DermMel\train_sep\Melanoma\AUG_0_7488.jpeg,2908275,20663,2902,0.030832478,3,1
DermMel\train_sep\NotMelanoma\ISIC_0031814.jpg,1413720,13748,614,0.458260733,3,0
DermMel\train_sep\Melanoma\AUGmented_0_2471.jpeg,1228335,10019,840,0.178433202,5,1
DermMel\train_sep\Melanoma\AUG_0_7956.jpeg,2212125,12423,1558,0.064313396,3,1
DermMel\train_sep\Melanoma\AUG_0_5213.jpeg,2018325,26051,1347,0.180425979,2,1
DermMel\train_sep\Melanoma\AUGmented_0_2311.jpeg,288660,5566,394,0.450568289,4,1
DermMel\train_sep\Melanoma\AUG_0_5057.jpeg,1903830,14372,1205,0.124380695,5,1
DermMel\train_sep\Melanoma\AUG_0_6273.jpeg,2850645,20571,3412,0.022204818,3,1
DermMel\train_sep\Melanoma\ISIC_0032265.jpg,5660745,107851,4018,0.083948739,2,1
DermMel\train_sep\Melanoma\AUG_0_4757.jpeg,1121235,9103,916,0.136333775,2,1
DermMel\train_sep\Melanoma\AUGmented_0_1442.jpeg,2842740,16124,2775,0.026312171,2,1
DermMel\train_sep\NotMelanoma\ISIC_0025075.jpg,14709165,102635,15080,0.005671562,4,0
DermMel\train_sep\Melanoma\AUGmented_0_9053.jpeg,2304690,16966,2344,0.038803787,2,1
DermMel\train_sep\Melanoma\AUG_0_5423.jpeg,2817240,13308,1571,0.067759515,4,1
DermMel\train_sep\NotMelanoma\ISIC_0025980.jpg,10258650,52326,5179,0.024515208,2,0
DermMel\train_sep\NotMelanoma\ISIC_0031595.jpg,1730430,30664,1666,0.138831711,3,0
DermMel\train_sep\NotMelanoma\ISIC_0025900.jpg,1952025,22185,1552,0.115740636,2,0
DermMel\train_sep\Melanoma\ISIC_0032970.jpg,3771705,62921,3654,0.059219999,4,1
DermMel\train_sep\Melanoma\AUGmented_0_1544.jpeg,3059235,22799,3736,0.020526359,3,1
DermMel\train_sep\Melanoma\AUG_0_9508.jpeg,1664385,13591,740,0.311887405,3,1
DermMel\train_sep\Melanoma\AUG_0_5340.jpeg,1583295,10339,1915,0.035428343,3,1
DermMel\train_sep\Melanoma\ISIC_0033522.jpg,12667635,81865,5442,0.0347369,4,1
DermMel\train_sep\Melanoma\ISIC_0029705.jpg,7504395,61213,5081,0.029795806,6,1
DermMel\train_sep\Melanoma\ISIC_0033325.jpg,15428520,102642,13355,0.007231813,2,1
DermMel\train_sep\NotMelanoma\ISIC_0026210.jpg,8053920,68684,10990,0.007146116,6,0
DermMel\train_sep\NotMelanoma\ISIC_0033338.jpg,9667560,67552,5652,0.026573195,3,0
DermMel\train_sep\NotMelanoma\ISIC_0026065.jpg,9633645,64285,7750,0.013449809,1,0
DermMel\train_sep\Melanoma\AUGmented_0_9502.jpeg,1963755,21785,1963,0.071043906,2,1
DermMel\train_sep\NotMelanoma\ISIC_0032058.jpg,7437585,71979,7349,0.016747854,6,0
